Reaction SMILES,Reaction_Subclass
Brc1ccc2c(c1)OCO2.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
FC(F)(F)c1ccccc1CBr.C#CC(O)(c1ccccc1)c1ccccc1>OC(c1ccccc1)(c1ccccc1)c1cn(Cc2ccccc2C(F)(F)F)nn1,3Y
Clc1ccc2cc(Br)ccc2n1.C#CC(C)=O>CC(=O)c1cn(-c2ccc3nc(Cl)ccc3c2)nn1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1cccc(Cl)c1>FC(F)(F)c1ccc(-n2cc(-c3cccc(Cl)c3)nn2)cc1,2N
FC(F)(F)c1ccccc1CBr.C#CC(=C)C>C=C(C)c1cn(Cc2ccccc2C(F)(F)F)nn1,3Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2c[nH]c(=O)[nH]c2=O)nn1,2N
Cc1ccnc(Br)c1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2cc(C)ccn2)nn1,2N
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#Cc1cccnc1>CC(C)(C)OC(=O)N1CCCC(n2cc(-c3cccnc3)nn2)C1,3N
N#CCCCBr.C#CCCCCC(=O)O>N#CCCCn1cc(CCCCC(=O)O)nn1,3Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc4nc(Cl)ccc4c3)nn2)cc1,2Y
O=[N+]([O-])CBr.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])Cn1cc(-c2cccc([N+](=O)[O-])c2)nn1,3N
O=Cc1cccc(Br)n1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3cccc(C=O)n3)nn2)cc1,2Y
CCOC(=O)CCBr.C#CC(=O)OCC>CCOC(=O)CCn1cc(C(=O)OCC)nn1,3N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccsc1>c1ccc(Oc2ccc(-n3cc(-c4ccsc4)nn3)cc2)cc1,2N
Fc1ccc(Br)c(Cl)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(F)cc2Cl)nn1,2N
COc1ccc(Br)cc1OC.C#Cc1ccc(Cl)cc1>COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1OC,2N
COc1ccc(Br)c(OC)c1.C#Cc1cccnc1>COc1ccc(-n2cc(-c3cccnc3)nn2)c(OC)c1,2Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1cccs1>O=[N+]([O-])c1ccc(Cn2cc(-c3cccs3)nn2)cc1,3N
O=[N+]([O-])CBr.C#Cc1ccccn1>O=[N+]([O-])Cn1cc(-c2ccccn2)nn1,3N
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#CCCCC(=O)O>CC(C)(C)OC(=O)N1CCC(Cn2cc(CCCC(=O)O)nn2)CC1,3Y
OCCCBr.C#CCc1ccccc1>OCCCn1cc(Cc2ccccc2)nn1,3N
O=c1[nH]cc(Br)c(=O)[nH]1.C#CC(O)c1ccccc1>O=c1[nH]cc(-n2cc(C(O)c3ccccc3)nn2)c(=O)[nH]1,2N
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
Nc1cc(Br)ncn1.C#CCc1ccccc1>Nc1cc(-n2cc(Cc3ccccc3)nn2)ncn1,2N
Clc1ccc2cc(Br)ccc2n1.C#Cc1cccnc1>Clc1ccc2cc(-n3cc(-c4cccnc4)nn3)ccc2n1,2N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#CC(=O)OCC>CCOC(=O)c1cn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nn1,3Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#Cc1ccc(F)cc1>CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccc(F)cc3)nn2)C1,3N
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccc([N+](=O)[O-])c1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccc([N+](=O)[O-])c3)nn2)nc1C,3Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc([N+](=O)[O-])cc1>O=[N+]([O-])c1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1cccc(N)c1>CC(C)(C)c1ccc(Cn2cc(-c3cccc(N)c3)nn2)cc1,3Y
O=[N+]([O-])CBr.C#CC(C)=O>CC(=O)c1cn(C[N+](=O)[O-])nn1,3N
ClCCCCBr.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CCCCCl)nn2)cc1,3Y
COc1ccc(Br)cc1.C#Cc1cccc(N)c1>COc1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,2Y
O=[N+]([O-])CBr.C#Cc1cccnc1>O=[N+]([O-])Cn1cc(-c2cccnc2)nn1,3N
CNS(=O)(=O)c1ccc(Br)cc1.C#CC(=O)OC(C)(C)C>CNS(=O)(=O)c1ccc(-n2cc(C(=O)OC(C)(C)C)nn2)cc1,2N
CC(=O)c1ccc(Br)cc1.C#CC(C)(O)C=C>C=CC(C)(O)c1cn(-c2ccc(C(C)=O)cc2)nn1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1cccs1>O=C1Cc2ccc(-n3cc(-c4cccs4)nn3)cc2N1,2N
COC(=O)c1cccc(Br)n1.C#Cc1ccc(F)cc1>COC(=O)c1cccc(-n2cc(-c3ccc(F)cc3)nn2)n1,2N
BrCCCOCc1ccccc1.C#CCN(CC)CC>CCN(CC)Cc1cn(CCCOCc2ccccc2)nn1,3Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(C(=O)O)cc1>COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)c(OC)c1,2Y
COc1ccc(Br)c(OC)c1.C#CS(=O)(=O)c1ccc(C)cc1>COc1ccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)nn2)c(OC)c1,2N
Brc1nc2ccccc2s1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#CC(=O)OCC>CCOC(=O)c1cn(CC2CCN(C(=O)OC(C)(C)C)CC2)nn1,3N
COC(=O)c1cccc(Br)n1.C#Cc1cccnc1>COC(=O)c1cccc(-n2cc(-c3cccnc3)nn2)n1,2N
Brc1ccc2c(c1)OCO2.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc3c(c2)OCO3)nn1,2Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#CC(=O)OCC>CCOC(=O)c1cn(C2CCN(C(=O)OC(C)(C)C)C2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
COc1ccc(Br)cc1OC.C#Cc1cccc([N+](=O)[O-])c1>COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1OC,2Y
Nc1cc(Br)ncn1.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(-c2cc(N)ncn2)nn1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccncc1>FC(F)(F)c1ccc(-n2cc(-c3ccncc3)nn2)cc1,2Y
Brc1ccc2c(c1)OCO2.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
Cc1ccnc(Br)c1.C#Cc1cccnc1>Cc1ccnc(-n2cc(-c3cccnc3)nn2)c1,2Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccs1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccs3)nn2)nc1C,3N
O=[N+]([O-])CBr.C#Cc1ccncc1>O=[N+]([O-])Cn1cc(-c2ccncc2)nn1,3N
Brc1ccc2cccnc2c1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc3cccnc3c2)nn1,2Y
Brc1cnc2c(ccc3cccnc32)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2cnc3c(ccc4cccnc43)c2)nn1,2Y
COc1ccc(Br)cc1.C#CCCCCCC>CCCCCCc1cn(-c2ccc(OC)cc2)nn1,2N
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(CC3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1,3Y
Nc1[nH]ncc1Br.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3cn[nH]c3N)nn2)cc1,2N
O=[N+]([O-])c1ccc(CBr)cc1.C#CCOCCO>O=[N+]([O-])c1ccc(Cn2cc(COCCO)nn2)cc1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccccc1>c1ccc(Oc2ccc(-n3cc(-c4ccccc4)nn3)cc2)cc1,2Y
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(F)cc1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(-c2ccc(F)cc2)nn1,3N
NC(=O)c1ccc(Br)cc1.C#CC(C)(C)O>CC(C)(O)c1cn(-c2ccc(C(N)=O)cc2)nn1,2N
Brc1nccs1.C#Cc1ccccc1>c1ccc(-c2cn(-c3nccs3)nn2)cc1,2N
Brc1nc2ccccc2s1.C#Cc1cccs1>c1csc(-c2cn(-c3nc4ccccc4s3)nn2)c1,2Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1cccs1>Clc1ccc2cc(-n3cc(-c4cccs4)nn3)ccc2n1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(N)cc1>CC(C)(C)c1ccc(Cn2cc(-c3ccc(N)cc3)nn2)cc1,3Y
Brc1ccc2c(c1)OCO2.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
CCOC(=O)CCBr.C#Cc1ccc(OC)cc1>CCOC(=O)CCn1cc(-c2ccc(OC)cc2)nn1,3N
COc1ccc(Br)cc1.C#Cc1ccc(F)cc1>COc1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,2Y
BrCC1CCCCC1.C#Cc1ccccc1Cl>Clc1ccccc1-c1cn(CC2CCCCC2)nn1,3Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,3Y
O=[N+]([O-])c1ccc(CBr)cc1.C#CCN(CC)CC>CCN(CC)Cc1cn(Cc2ccc([N+](=O)[O-])cc2)nn1,3N
O=Cc1ccc(Br)o1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(C=O)o3)nn2)cc1,2Y
Brc1nc2ccccc2[nH]1.C#CC(C)=O>CC(=O)c1cn(-c2nc3ccccc3[nH]2)nn1,2Y
ClCCCCBr.C#Cc1ccncc1>ClCCCCn1cc(-c2ccncc2)nn1,3N
Fc1ccc(Br)c(Cl)c1.C#Cc1cccnc1>Fc1ccc(-n2cc(-c3cccnc3)nn2)c(Cl)c1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#CC(O)(c1ccccc1)c1ccccc1>CC(C)(C)c1ccc(Cn2cc(C(O)(c3ccccc3)c3ccccc3)nn2)cc1,3Y
Fc1ccc(Br)c(Cl)c1.C#CS(=O)(=O)c1ccc(C)cc1>Cc1ccc(S(=O)(=O)c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc([N+](=O)[O-])cc1>COc1ccc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)c(OC)c1,2Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccccc1Cl>Fc1ccc(-n2cc(-c3ccccc3Cl)nn2)c(Cl)c1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2N
CCOC(CBr)COC.C#CC(=O)OCC>CCOC(=O)c1cn(CC(COC)OCC)nn1,3N
Brc1ccc2cccnc2c1.C#Cc1ccccn1>c1ccc(-c2cn(-c3ccc4cccnc4c3)nn2)nc1,2Y
BrCC1CC1.C#CCOCCO>OCCOCc1cn(CC2CC2)nn1,3Y
Nc1cc(Br)ncn1.C#Cc1ccc(F)cc1>Nc1cc(-n2cc(-c3ccc(F)cc3)nn2)ncn1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#CCc1ccccc1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(Cc2ccccc2)nn1,3N
Nc1cc(Br)ncn1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3cc(N)ncn3)nn2)cc1,2N
N#CCCCBr.C#CCCCC(=O)O>N#CCCCn1cc(CCCC(=O)O)nn1,3N
Brc1nc2ccccc2s1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2nc3ccccc3s2)nn1,2N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccncc1>c1ccc(Oc2ccc(-n3cc(-c4ccncc4)nn3)cc2)cc1,2Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(OC)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(OC)cc3)nn2)nc1C,3Y
Brc1nc2ccccc2[nH]1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2nc3ccccc3[nH]2)nn1,2N
COC(=O)CBr.C#CC(C)=O>COC(=O)Cn1cc(C(C)=O)nn1,3N
CC(C)(C)c1ccc(CBr)cc1.C#CCC(=O)OC>COC(=O)Cc1cn(Cc2ccc(C(C)(C)C)cc2)nn1,3Y
Brc1ccc2c(c1)OCO2.C#Cc1ccccn1>c1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)nc1,2N
O=[N+]([O-])CBr.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(C[N+](=O)[O-])nn2)cc1,3N
BrCC1CC1.C#CCN1CCOCC1>c1c(CN2CCCC2)nnn1CC1CC1,3Y
Nc1[nH]ncc1Br.C#CCc1ccccc1>Nc1[nH]ncc1-n1cc(Cc2ccccc2)nn1,2N
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
COc1ccc(Br)cc1.C#CC(O)(c1ccccc1)c1ccccc1>COc1ccc(-n2cc(C(O)(c3ccccc3)c3ccccc3)nn2)cc1,2N
N#CCCCBr.C#CC(C)(O)C=C>C=CC(C)(O)c1cn(CCCC#N)nn1,3Y
O=C1Cc2ccc(Br)cc2N1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc3c(c2)NC(=O)C3)nn1,2N
Brc1ccc2cccnc2c1.C#Cc1ccncc1>c1cnc2cc(-n3cc(-c4ccncc4)nn3)ccc2c1,2Y
Brc1nccs1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3nccs3)nn2)c1,2Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(Cl)cc1>NC(=O)c1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1,2N
Brc1ccc2c(c1)OCCO2.C#CC(O)(c1ccccc1)c1ccccc1>OC(c1ccccc1)(c1ccccc1)c1cn(-c2ccc3c(c2)OCCO3)nn1,2Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccncc1>FC(F)(F)c1cc(Cn2cc(-c3ccncc3)nn2)cc(C(F)(F)F)c1,3Y
CCOC(=O)CCBr.C#Cc1cccnc1>CCOC(=O)CCn1cc(-c2cccnc2)nn1,3N
Brc1nc2ccccc2[nH]1.C#Cc1cccs1>c1csc(-c2cn(-c3nc4ccccc4[nH]3)nn2)c1,2N
CCOC(CBr)COC.C#CCN1C(=O)c2ccccc2C1=O>CCOC(COC)Cn1cc(CN2C(=O)c3ccccc3C2=O)nn1,3Y
FC(F)(F)c1ccc(Br)cc1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(C(F)(F)F)cc2)nn1,2N
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#Cc1ccc(C#N)cc1>CC(C)(C)OC(=O)N1CCC(Cn2cc(-c3ccc(C#N)cc3)nn2)CC1,3Y
COC(=O)c1cccc(Br)n1.C#CS(=O)(=O)c1ccc(C)cc1>COC(=O)c1cccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)nn2)n1,2Y
O=Cc1cccc(Br)n1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3cccc(C=O)n3)nn2)cc1,2Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1ccc(F)cc1>O=[N+]([O-])c1ccc(Cn2cc(-c3ccc(F)cc3)nn2)cc1,3N
COC(=O)CBr.C#Cc1ccc(C(=O)O)cc1>COC(=O)Cn1cc(-c2ccc(C(=O)O)cc2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccccc1Cl>Clc1ccccc1-c1cn(-c2ccc(Oc3ccccc3)cc2)nn1,2Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(C#C)cc1>C#Cc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
BrCC1CCOCC1.C#CC(=O)OCC>CCOC(=O)c1cn(CC2CCOCC2)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1cccc([N+](=O)[O-])c1>NC(=O)c1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,2Y
BrCCc1c[nH]c2ccccc12.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(CCc3c[nH]c4ccccc34)nn2)cc1,3Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc4nc(Cl)ccc4c3)nn2)cc1,2N
Nc1cc(Br)ncn1.C#CCOc1ccccc1>Nc1cc(-n2cc(COc3ccccc3)nn2)ncn1,2Y
BrC1CCCC1.C#Cc1cccs1>c1csc(-c2cn(C3CCCC3)nn2)c1,3N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(N)cc1>Nc1ccc(-c2cn(CCCCCN3C(=O)c4ccccc4C3=O)nn2)cc1,3Y
CCOC(=O)CCBr.C#CCc1ccccc1>CCOC(=O)CCn1cc(Cc2ccccc2)nn1,3N
COC(=O)c1cccc(Br)n1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2cccc(C(=O)OC)n2)nn1,2N
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#CCN>CCOC(=O)c1sc(NC(=O)Cn2cc(CN)nn2)nc1C,3N
Cc1ccc(CBr)cc1.C#CCc1ccccc1>Cc1ccc(Cn2cc(Cc3ccccc3)nn2)cc1,3Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccccc1>Fc1ccc(-n2cc(-c3ccccc3)nn2)c(Cl)c1,2Y
BrCCc1c[nH]c2ccccc12.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CCc3c[nH]c4ccccc34)nn2)cc1,3Y
Nc1cc(Br)ncn1.C#Cc1cccnc1>Nc1cc(-n2cc(-c3cccnc3)nn2)ncn1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3ccc4c(c3)NC(=O)C4)nn2)cc1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(OC)cc2OC)nn1,2Y
Nc1cc(Br)ncn1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3cc(N)ncn3)nn2)cc1,2N
