Reaction SMILES,Reaction_Subclass
Brc1ccc2cccnc2c1.C#CCc1ccccc1>c1ccc(Cc2cn(-c3ccc4cccnc4c3)nn2)cc1,2Y
CC(C)CBr.C#Cc1ccsc1>CC(C)Cn1cc(-c2ccsc2)nn1,3N
NC(=O)c1ccc(Br)cc1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(C(N)=O)cc2)nn1,2N
COC(=O)c1cccc(Br)n1.C#Cc1ccc(OC)cc1>COC(=O)c1cccc(-n2cc(-c3ccc(OC)cc3)nn2)n1,2N
O=c1[nH]cc(Br)c(=O)[nH]1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3c[nH]c(=O)[nH]c3=O)nn2)cc1,2N
OCCCBr.C#Cc1cccs1>OCCCn1cc(-c2cccs2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#CC(C)(O)CC(C)C>CC(C)CC(C)(O)c1cn(-c2ccc3cccnc3c2)nn1,2Y
BrCC1CCCCC1.C#Cc1ccsc1>c1cc(-c2cn(CC3CCCCC3)nn2)cs1,3Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(C#N)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C#N)cc3)nn2)nc1C,3Y
Cc1ccnc(Br)c1.C#CC(=C)C>C=C(C)c1cn(-c2cc(C)ccn2)nn1,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CCc1ccccc1>O=c1[nH]cc(-n2cc(Cc3ccccc3)nn2)c(=O)[nH]1,2Y
Nc1nc(N)c2ccc(Br)cc2n1.C#CCCCC(=O)O>Nc1nc(N)c2ccc(-n3cc(CCCC(=O)O)nn3)cc2n1,2N
Cc1ccnc(Br)c1.C#CC(C)(C)O>Cc1ccnc(-n2cc(C(C)(C)O)nn2)c1,2N
CCOC(CBr)COC.C#Cc1ccncc1>CCOC(COC)Cn1cc(-c2ccncc2)nn1,3N
Fc1ccc(Br)c(Cl)c1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3ccc(F)cc3Cl)nn2)c1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#CCc1ccccc1>CC(C)(C)OC(=O)N1CCCC(n2cc(Cc3ccccc3)nn2)C1,3N
N#CCCCBr.C#Cc1ccc(C(=O)O)cc1>N#CCCCn1cc(-c2ccc(C(=O)O)cc2)nn1,3Y
Brc1ccc2c(c1)OCO2.C#Cc1ccsc1>c1cc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cs1,2N
N#CCCCBr.C#CCC(=O)OC>COC(=O)Cc1cn(CCCC#N)nn1,3Y
COc1ccc(Br)cc1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(OC)cc2)nn1,2N
COc1ccc(Br)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,2Y
FC(F)(F)c1ccc(Br)cc1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(C(F)(F)F)cc2)nn1,2N
FC(F)(F)c1ccccc1CBr.C#Cc1ccccc1>FC(F)(F)c1ccccc1Cn1cc(-c2ccccc2)nn1,3Y
OCCCBr.C#CC(C)=O>CC(=O)c1cn(CCCO)nn1,3N
OCCCBr.C#Cc1ccc(F)cc1>OCCCn1cc(-c2ccc(F)cc2)nn1,3Y
N#CCCCBr.C#CC(C)=O>CC(=O)c1cn(CCCC#N)nn1,3N
Nc1nc(N)c2ccc(Br)cc2n1.C#Cc1cccs1>Nc1nc(N)c2ccc(-n3cc(-c4cccs4)nn3)cc2n1,2N
COc1ccc(Br)cc1.C#CCOC>COCc1cn(-c2ccc(OC)cc2)nn1,2N
Brc1nc2ccccc2s1.C#Cc1ccc(N)cc1>Nc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
OCCCBr.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(CCCO)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1cccc(N)c1>NC(=O)c1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,2Y
COC(=O)c1cccc(Br)n1.C#Cc1cccs1>COC(=O)c1cccc(-n2cc(-c3cccs3)nn2)n1,2N
Brc1ccc2c(c1)OCO2.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc3c(c2)OCO3)nn1,2Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccncc1>Clc1ccc2cc(-n3cc(-c4ccncc4)nn3)ccc2n1,2Y
COc1ccc(Br)cc1.C#CCCO>COc1ccc(-n2cc(CCO)nn2)cc1,2Y
Clc1ccc2cc(Br)ccc2n1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc3nc(Cl)ccc3c2)nn1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#CC(=C)C>C=C(C)c1cn(Cc2ccc(C(C)(C)C)cc2)nn1,3Y
COC(=O)CBr.C#CCCCC(=O)O>COC(=O)Cn1cc(CCCC(=O)O)nn1,3N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccc(N)c1>Nc1cccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)c1,2Y
CCC(Br)CC.C#Cc1ccc([N+](=O)[O-])cc1>CCC(CC)n1cc(-c2ccc([N+](=O)[O-])cc2)nn1,3Y
Cc1ccnc(Br)c1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,2N
COC(=O)c1ccc(Br)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(C(=O)OC)cc3)nn2)cc1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccs1>c1ccc(Oc2ccc(-n3cc(-c4cccs4)nn3)cc2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccccc1Cl>COc1ccc(-n2cc(-c3ccccc3Cl)nn2)c(OC)c1,2Y
NC(=O)c1ccc(Br)cc1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(C(N)=O)cc2)nn1,2Y
Brc1nc2ccccc2s1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
Fc1ccc(Br)c(Cl)c1.C#CC(=C)C>C=C(C)c1cn(-c2ccc(F)cc2Cl)nn1,2Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#Cc1ccncc1>CC(C)(C)OC(=O)N1CCC(Cn2cc(-c3ccncc3)nn2)CC1,3Y
BrCCC1OCCO1.C#CCOc1ccccc1>c1ccc(OCc2cn(CCC3OCCO3)nn2)cc1,3Y
Brc1nccs1.C#CC(O)c1ccccc1>OC(c1ccccc1)c1cn(-c2nccs2)nn1,2Y
COC(=O)CBr.C#Cc1ccc(F)cc1>COC(=O)Cn1cc(-c2ccc(F)cc2)nn1,3Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(OC)cc3OC)nn2)cc1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#CC(O)(c1ccccc1)c1ccccc1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(C(O)(c2ccccc2)c2ccccc2)nn1,3Y
CCOC(CBr)COC.C#Cc1ccc(C(=O)O)cc1>CCOC(COC)Cn1cc(-c2ccc(C(=O)O)cc2)nn1,3N
COc1ccc(Br)c(OC)c1.C#Cc1ccc(Cl)cc1>COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)c(OC)c1,2Y
CC(C)CBr.C#Cc1ccc(C(=O)O)cc1>CC(C)Cn1cc(-c2ccc(C(=O)O)cc2)nn1,3N
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CCOc1ccccc1>O=c1[nH]cc(-n2cc(COc3ccccc3)nn2)c(=O)[nH]1,2N
Brc1nc2ccccc2s1.C#CCN1C(=O)c2ccccc2C1=O>O=C1c2ccccc2C(=O)N1Cc1cn(-c2nc3ccccc3s2)nn1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(C#N)cc1>COc1ccc(-n2cc(-c3ccc(C#N)cc3)nn2)c(OC)c1,2Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,2N
BrCCc1c[nH]c2ccccc12.C#Cc1cccs1>c1csc(-c2cn(CCc3c[nH]c4ccccc34)nn2)c1,3Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#CS(=O)(=O)c1ccc(C)cc1>Cc1ccc(S(=O)(=O)c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,3Y
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccnc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccnc3)nn2)nc1C,3N
Fc1ccc(Br)c(Cl)c1.C#CCCO>OCCc1cn(-c2ccc(F)cc2Cl)nn1,2Y
COc1ccc(Br)cc1OC.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(OC)c(OC)c3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc4cccnc4c3)nn2)cc1,2Y
BrCCc1c[nH]c2ccccc12.C#Cc1ccncc1>c1ccc2c(CCn3cc(-c4ccncc4)nn3)c[nH]c2c1,3Y
BrCC1CC1.C#CCCCCCC>CCCCCCc1cn(CC2CC2)nn1,3Y
Brc1cnc2ccccc2c1.C#Cc1ccncc1>c1ccc2ncc(-n3cc(-c4ccncc4)nn3)cc2c1,2Y
CC(C)CBr.C#CCN1CCOCC1>CC(C)Cn1cc(CN2CCCC2)nn1,3Y
N#CCCCBr.C#Cc1cccnc1>N#CCCCn1cc(-c2cccnc2)nn1,3Y
Cc1ccc(CBr)cc1.C#CC(=O)OCC>CCOC(=O)c1cn(Cc2ccc(C)cc2)nn1,3Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(F)cc1>COc1ccc(-n2cc(-c3ccc(F)cc3)nn2)c(OC)c1,2N
COc1ccc(Br)c(OC)c1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(OC)cc2OC)nn1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccccc1Cl>CC(C)(C)c1ccc(Cn2cc(-c3ccccc3Cl)nn2)cc1,3Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccsc1>CC(C)(C)c1ccc(Cn2cc(-c3ccsc3)nn2)cc1,3Y
Nc1nc(N)c2ccc(Br)cc2n1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc3c(N)nc(N)nc3c2)nn1,2Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(Cc3ccc([N+](=O)[O-])cc3)nn2)cc1,3Y
COC(=O)c1ccc(Br)cc1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(C(=O)OC)cc2)nn1,2Y
Brc1ccc2c(c1)OCO2.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
COc1ccc(Br)cc1OC.C#CC(=O)OC(C)(C)C>COc1ccc(-n2cc(C(=O)OC(C)(C)C)nn2)cc1OC,2N
Cc1ccc(CBr)cc1.C#CC(C)(C)O>Cc1ccc(Cn2cc(C(C)(C)O)nn2)cc1,3Y
BrC1CCCC1.C#CCOC>COCc1cn(C2CCCC2)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#CCN>NCc1cn(-c2ccc(C(N)=O)cc2)nn1,2N
COC(=O)c1cccc(Br)n1.C#Cc1ccc(C(=O)O)cc1>COC(=O)c1cccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)n1,2N
CC(C)CBr.C#CCN(CC)CC>CCN(CC)Cc1cn(CC(C)C)nn1,3N
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(Cl)cc1>CC(C)(C)c1ccc(Cn2cc(-c3ccc(Cl)cc3)nn2)cc1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(Oc3ccccc3)cc2)nn1,2N
CNS(=O)(=O)c1ccc(Br)cc1.C#Cc1ccccc1>CNS(=O)(=O)c1ccc(-n2cc(-c3ccccc3)nn2)cc1,2N
Brc1ccc2c(c1)OCO2.C#CCN1C(=O)c2ccccc2C1=O>O=C1c2ccccc2C(=O)N1Cc1cn(-c2ccc3c(c2)OCO3)nn1,2Y
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
O=CC(Br)C=O.C#CCOC>COCc1cn(C(C=O)C=O)nn1,3Y
BrC1CCCC1.C#Cc1ccsc1>c1cc(-c2cn(C3CCCC3)nn2)cs1,3Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(C#N)cc1>CC(C)(C)c1ccc(Cn2cc(-c3ccc(C#N)cc3)nn2)cc1,3Y
Brc1ncc[nH]1.C#CC(C)(O)CC(C)C>CC(C)CC(C)(O)c1cn(-c2ncc[nH]2)nn1,2N
Cc1ccnc(Br)c1.C#Cc1ccncc1>Cc1ccnc(-n2cc(-c3ccncc3)nn2)c1,2Y
COc1ccc(Br)cc1OC.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(OC)c(OC)c3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#CC(=C)C>C=C(C)c1cn(-c2ccc3cccnc3c2)nn1,2Y
CC(C)(C)OC(=O)NCCCCBr.C#CC(C)=O>CC(=O)c1cn(CCCCNC(=O)OC(C)(C)C)nn1,3N
FC(F)(F)c1ccc(Br)cc1.C#Cc1cccnc1>FC(F)(F)c1ccc(-n2cc(-c3cccnc3)nn2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(N)cc1>COc1ccc(-n2cc(-c3ccc(N)cc3)nn2)c(OC)c1,2Y
Brc1ccc2c(c1)OCO2.C#Cc1cccc(N)c1>Nc1cccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)c1,2Y
O=[N+]([O-])c1ccc(CBr)cc1.C#CCN1CCOCC1>O=[N+]([O-])c1ccc(Cn2cc(CN3CCCC3)nn2)cc1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccccc1Cl>NC(=O)c1ccc(-n2cc(-c3ccccc3Cl)nn2)cc1,2N
CCOC(CBr)COC.C#CCCCC(=O)O>CCOC(COC)Cn1cc(CCCC(=O)O)nn1,3N
O=C1Cc2ccc(Br)cc2N1.C#CCc1ccccc1>O=C1Cc2ccc(-n3cc(Cc4ccccc4)nn3)cc2N1,2Y
COc1ccc(Br)cc1OC.C#Cc1ccncc1>COc1ccc(-n2cc(-c3ccncc3)nn2)cc1OC,2Y
Cc1ccc(CBr)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(Cc3ccc(C)cc3)nn2)cc1,3Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccc(C#C)cc1>C#Cc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(C(=O)O)cc1>NC(=O)c1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#CCCCC(=O)O>O=C(O)CCCc1cn(CCCCCN2C(=O)c3ccccc3C2=O)nn1,3N
COC(=O)c1ccc(Br)cc1.C#CCN1CCOCC1>COC(=O)c1ccc(-n2cc(CN3CCCC3)nn2)cc1,2N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccnc1>c1ccc(Oc2ccc(-n3cc(-c4cccnc4)nn3)cc2)cc1,2Y
O=[N+]([O-])CBr.C#CCN(CC)CC>CCN(CC)Cc1cn(C[N+](=O)[O-])nn1,3Y
Brc1nc2ccccc2s1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3nc4ccccc4s3)nn2)c1,2Y
OCCCBr.C#Cc1cccc(C)c1>Cc1cccc(-c2cn(CCCO)nn2)c1,3Y
CC(C)CBr.C#CCc1ccccc1>CC(C)Cn1cc(Cc2ccccc2)nn1,3N
FC(F)(F)c1ccccc1CBr.C#CCCO>OCCc1cn(Cc2ccccc2C(F)(F)F)nn1,3Y
CC(C)CBr.C#CCCCC(=O)O>CC(C)Cn1cc(CCCC(=O)O)nn1,3N
Brc1nc2ccccc2s1.C#Cc1nccs1>c1ccc2sc(-n3cc(-c4nccs4)nn3)nc2c1,2Y
CC(C)(C)C(=O)CBr.C#CCOc1ccccc1>CC(C)(C)C(=O)Cn1cc(COc2ccccc2)nn1,3N
Brc1nc2ccccc2s1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
Cc1ccc(CBr)cc1.C#Cc1cccs1>Cc1ccc(Cn2cc(-c3cccs3)nn2)cc1,3N
Brc1ccc(Oc2ccccc2)cc1.C#CS(=O)(=O)c1ccc(C)cc1>Cc1ccc(S(=O)(=O)c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2N
CC(C)CBr.C#Cc1cccs1>CC(C)Cn1cc(-c2cccs2)nn1,3N
BrCC1CCC1.C#CCCCCC(=O)O>O=C(O)CCCCc1cn(CC2CCC2)nn1,3Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,3Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#CC(C)=O>CC(=O)c1cn(C2CCN(C(=O)OC(C)(C)C)C2)nn1,3N
COc1ccc(Br)cc1OC.C#Cc1ccc(F)cc1>COc1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1OC,2N
COC(=O)c1ccc(Br)cc1.C#CC(=O)OC(C)(C)C>COC(=O)c1ccc(-n2cc(C(=O)OC(C)(C)C)nn2)cc1,2Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1cccc([N+](=O)[O-])c1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(-c2cccc([N+](=O)[O-])c2)nn1,3Y
Brc1ccc(Oc2ccccc2)cc1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2ccc(Oc3ccccc3)cc2)nn1,2N
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(F)cc1>NC(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,2N
Brc1ccc2cccnc2c1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3ccc4cccnc4c3)nn2)c1,2Y
CCOC(=O)CCBr.C#Cc1ccc(C(=O)O)cc1>CCOC(=O)CCn1cc(-c2ccc(C(=O)O)cc2)nn1,3N
ClCCCCBr.C#CC(=O)OCC>CCOC(=O)c1cn(CCCCCl)nn1,3Y
O=Cc1cccc(Br)n1.C#CC(C)=O>CC(=O)c1cn(-c2cccc(C=O)n2)nn1,2N
Brc1ccc2c(c1)OCO2.C#CCCCCCC>CCCCCCc1cn(-c2ccc3c(c2)OCO3)nn1,2N
