Reaction SMILES,Reaction_Subclass
Nc1nc(N)c2ccc(Br)cc2n1.C#CCc1ccccc1>Nc1nc(N)c2ccc(-n3cc(Cc4ccccc4)nn3)cc2n1,2N
COc1ccc(Br)cc1.C#Cc1cccc([N+](=O)[O-])c1>COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,2Y
Clc1ccc2cc(Br)ccc2n1.C#CCc1ccccc1>Clc1ccc2cc(-n3cc(Cc4ccccc4)nn3)ccc2n1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(F)cc1>CC(C)(C)c1ccc(Cn2cc(-c3ccc(F)cc3)nn2)cc1,3Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1cccnc1>O=[N+]([O-])c1ccc(Cn2cc(-c3cccnc3)nn2)cc1,3Y
O=[N+]([O-])CBr.C#CCN1C(=O)c2ccccc2C1=O>O=C1c2ccccc2C(=O)N1Cc1cn(C[N+](=O)[O-])nn1,3Y
COC(=O)CBr.C#Cc1ccc(C#N)cc1>COC(=O)Cn1cc(-c2ccc(C#N)cc2)nn1,3Y
BrCCc1c[nH]c2ccccc12.C#CCNC>CNCc1cn(CCc2c[nH]c3ccccc23)nn1,3N
FC(F)(F)c1ccc(Br)cc1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(C(F)(F)F)cc2)nn1,2N
CCOC(=O)CCBr.C#Cc1ccc(C#N)cc1>CCOC(=O)CCn1cc(-c2ccc(C#N)cc2)nn1,3N
Cc1ccnc(Br)c1.C#CCCO>Cc1ccnc(-n2cc(CCO)nn2)c1,2N
COc1ccc(Br)c(OC)c1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(OC)cc3OC)nn2)cc1,2Y
COc1ccc(Br)c(OC)c1.C#Cc1ccsc1>COc1ccc(-n2cc(-c3ccsc3)nn2)c(OC)c1,2Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,2N
ClCCCCBr.C#CCc1ccccc1>ClCCCCn1cc(Cc2ccccc2)nn1,3N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)c1,2Y
O=[N+]([O-])CBr.C#Cc1cccs1>O=[N+]([O-])Cn1cc(-c2cccs2)nn1,3Y
Cc1ccc(Br)cc1C.C#CCN>Cc1ccc(-n2cc(CN)nn2)cc1C,2N
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccc(C#C)cc1>C#Cc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,2Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1ccccc1>FC(F)(F)c1cc(Cn2cc(-c3ccccc3)nn2)cc(C(F)(F)F)c1,3Y
COc1ccc(Br)cc1OC.C#Cc1ccsc1>COc1ccc(-n2cc(-c3ccsc3)nn2)cc1OC,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#Cc1cccnc1>O=c1[nH]cc(-n2cc(-c3cccnc3)nn2)c(=O)[nH]1,2N
CC(C)CBr.C#CC(C)(C)C>CC(C)Cn1cc(C(C)(C)C)nn1,3N
COC(=O)CBr.C#Cc1ccncc1>COC(=O)Cn1cc(-c2ccncc2)nn1,3Y
ClCCCCBr.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(CCCCCl)nn2)cc1,3Y
CC(C)CBr.C#Cc1cccnc1>CC(C)Cn1cc(-c2cccnc2)nn1,3N
CCC(Br)CC.C#CCNC>CCC(CC)n1cc(CNC)nn1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccc(N)cc1>NC(=O)c1ccc(-n2cc(-c3ccc(N)cc3)nn2)cc1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1ccc(F)cc1>O=C1Cc2ccc(-n3cc(-c4ccc(F)cc4)nn3)cc2N1,2Y
Cc1ccnc(Br)c1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3cc(C)ccn3)nn2)cc1,2N
Brc1ccc2c(c1)OCO2.C#Cc1ccc(Cl)cc1>Clc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#CCCCC(=O)O>CC(C)(C)OC(=O)N1CCC(n2cc(CCCC(=O)O)nn2)C1,3Y
Brc1nc2ccccc2[nH]1.C#CC(=C)C>C=C(C)c1cn(-c2nc3ccccc3[nH]2)nn1,2N
CC(C)(C)C(=O)CBr.C#CCN1CCOCC1>CC(C)(C)C(=O)Cn1cc(CN2CCCC2)nn1,3N
Cc1ccnc(Br)c1.C#Cc1cccc(C)c1>Cc1cccc(-c2cn(-c3cc(C)ccn3)nn2)c1,2N
COC(=O)c1ccc(Br)cc1.C#CCN(CC)CC>CCN(CC)Cc1cn(-c2ccc(C(=O)OC)cc2)nn1,2N
BrCC1CCCCC1.C#CCOc1ccccc1>c1ccc(OCc2cn(CC3CCCCC3)nn2)cc1,3Y
NC(=O)c1ccc(Br)cc1.C#Cc1ccccn1>NC(=O)c1ccc(-n2cc(-c3ccccn3)nn2)cc1,2Y
Nc1nc(N)c2ccc(Br)cc2n1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc4c(N)nc(N)nc4c3)nn2)cc1,2Y
Nc1cc(Br)ncn1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3cc(N)ncn3)nn2)cc1,2N
Brc1nc2ccccc2[nH]1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3nc4ccccc4[nH]3)nn2)cc1,2N
CC(C)(C)OC(=O)N1CCC(Br)C1.C#CCc1ccccc1>CC(C)(C)OC(=O)N1CCC(n2cc(Cc3ccccc3)nn2)C1,3N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#Cc1cccs1>FC(F)(F)c1cc(Cn2cc(-c3cccs3)nn2)cc(C(F)(F)F)c1,3Y
Nc1nc(N)c2ccc(Br)cc2n1.C#Cc1cccnc1>Nc1nc(N)c2ccc(-n3cc(-c4cccnc4)nn3)cc2n1,2N
O=Cc1ccc(Br)o1.C#Cc1ccncc1>O=Cc1ccc(-n2cc(-c3ccncc3)nn2)o1,2N
NC(=O)c1ccc(Br)cc1.C#Cc1cccc(C)c1>Cc1cccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)c1,2Y
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#Cc1cccs1>CC(C)(C)OC(=O)N1CCCC(n2cc(-c3cccs3)nn2)C1,3N
N#CCCCBr.C#CC(=O)OCC>CCOC(=O)c1cn(CCCC#N)nn1,3Y
COc1ccc(Br)cc1.C#Cc1ccc(C#N)cc1>COc1ccc(-n2cc(-c3ccc(C#N)cc3)nn2)cc1,2Y
O=Cc1cccc(Br)n1.C#CCCCC(=O)O>O=Cc1cccc(-n2cc(CCCC(=O)O)nn2)n1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CCCCCN3C(=O)c4ccccc4C3=O)nn2)cc1,3N
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccsc1>FC(F)(F)c1ccc(-n2cc(-c3ccsc3)nn2)cc1,2N
Brc1nc2ccccc2s1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3c[nH]c(=O)[nH]c3=O)nn2)cc1,2N
CC(=O)c1ccc(Br)cc1.C#Cc1ccccc1>CC(=O)c1ccc(-n2cc(-c3ccccc3)nn2)cc1,2N
COc1ccc(Br)cc1.C#Cc1ccc(Cl)cc1>COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1,2Y
O=[N+]([O-])CBr.C#CC(C)(C)C>CC(C)(C)c1cn(C[N+](=O)[O-])nn1,3Y
Cc1ccnc(Br)c1.C#Cc1ccc(Cl)cc1>Cc1ccnc(-n2cc(-c3ccc(Cl)cc3)nn2)c1,2N
Brc1ccc2c(c1)OCO2.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)c1,2Y
CCOC(=O)CCBr.C#Cc1ccc(F)cc1>CCOC(=O)CCn1cc(-c2ccc(F)cc2)nn1,3N
O=Cc1ccc(Br)o1.C#Cc1cccs1>O=Cc1ccc(-n2cc(-c3cccs3)nn2)o1,2Y
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccncc1>O=C1c2ccccc2C(=O)N1CCCCCn1cc(-c2ccncc2)nn1,3N
COC(=O)c1cccc(Br)n1.C#CCc1ccccc1>COC(=O)c1cccc(-n2cc(Cc3ccccc3)nn2)n1,2N
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#CC(=O)OCC>CCOC(=O)c1cn(CC(=O)Nc2nc(C)c(C(=O)OCC)s2)nn1,3Y
COC(=O)CBr.C#CCCCCC(=O)O>COC(=O)Cn1cc(CCCCC(=O)O)nn1,3Y
Cc1ccnc(Br)c1.C#Cc1ccccc1Cl>Cc1ccnc(-n2cc(-c3ccccc3Cl)nn2)c1,2N
OCCCBr.C#Cc1cccnc1>OCCCn1cc(-c2cccnc2)nn1,3Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(Cc3ccc([N+](=O)[O-])cc3)nn2)cc1,3Y
Brc1nc2ccccc2s1.C#CC(O)(c1ccccc1)c1ccccc1>OC(c1ccccc1)(c1ccccc1)c1cn(-c2nc3ccccc3s2)nn1,2Y
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#CCCCC(=O)O>CC(C)(C)OC(=O)N1CCCC(n2cc(CCCC(=O)O)nn2)C1,3N
O=C(O)c1cccc(Br)c1.C#CC(C)(O)CC(C)C>CC(C)CC(C)(O)c1cn(-c2cccc(C(=O)O)c2)nn1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccncc1>CC(C)(C)c1ccc(Cn2cc(-c3ccncc3)nn2)cc1,3Y
Nc1cc(Br)ncn1.C#Cc1ccc(C(=O)O)cc1>Nc1cc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)ncn1,2N
O=C1Cc2ccc(Br)cc2N1.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(-c2ccc3c(c2)NC(=O)C3)nn1,2N
ClCCCCBr.C#Cc1cccs1>ClCCCCn1cc(-c2cccs2)nn1,3Y
FC(F)(F)c1ccc(Br)cc1.C#CCN1CCOCC1>FC(F)(F)c1ccc(-n2cc(CN3CCCC3)nn2)cc1,2N
COc1ccc(Br)cc1.C#CC(C)(O)CC(C)C>COc1ccc(-n2cc(C(C)(O)CC(C)C)nn2)cc1,2N
BrCC1CC1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CC3CC3)nn2)cc1,3Y
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(CC)cc1>CCc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
O=Cc1ccc(Br)o1.C#Cc1ccc(F)cc1>O=Cc1ccc(-n2cc(-c3ccc(F)cc3)nn2)o1,2N
FC(F)(F)c1ccc(Br)cc1.C#Cc1cccc(N)c1>Nc1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1,2Y
CC(C)(C)OC(=O)NCCCCBr.C#Cc1cccs1>CC(C)(C)OC(=O)NCCCCn1cc(-c2cccs2)nn1,3N
ClCCCCBr.C#CCN1CCOCC1>ClCCCCn1cc(CN2CCCC2)nn1,3Y
CNS(=O)(=O)c1ccc(Br)cc1.C#CC(O)c1ccccc1>CNS(=O)(=O)c1ccc(-n2cc(C(O)c3ccccc3)nn2)cc1,2N
COc1ccc(Br)cc1OC.C#Cc1ccccc1Cl>COc1ccc(-n2cc(-c3ccccc3Cl)nn2)cc1OC,2N
COC(=O)c1cccc(Br)n1.C#CC(C)=O>COC(=O)c1cccc(-n2cc(C(C)=O)nn2)n1,2N
COc1ccc(Br)cc1OC.C#Cc1ccc(C#N)cc1>COc1ccc(-n2cc(-c3ccc(C#N)cc3)nn2)cc1OC,2Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2c[nH]c(=O)[nH]c2=O)nn1,2N
COc1ccc(Br)cc1.C#Cc1ccccc1Cl>COc1ccc(-n2cc(-c3ccccc3Cl)nn2)cc1,2Y
Fc1ccc(Br)c(Cl)c1.C#CC(O)c1ccccc1>OC(c1ccccc1)c1cn(-c2ccc(F)cc2Cl)nn1,2Y
CCOC(=O)CCBr.C#Cc1ccccn1>CCOC(=O)CCn1cc(-c2ccccn2)nn1,3Y
COc1ccc(Br)cc1.C#Cc1ccc(N)cc1>COc1ccc(-n2cc(-c3ccc(N)cc3)nn2)cc1,2N
Nc1cc(Br)ncn1.C#CC(C)(O)CC(C)C>CC(C)CC(C)(O)c1cn(-c2cc(N)ncn2)nn1,2N
COc1ccc(Br)cc1OC.C#Cc1cccc(Cl)c1>COc1ccc(-n2cc(-c3cccc(Cl)c3)nn2)cc1OC,2N
Cc1ccnc(Br)c1.C#Cc1cccc([N+](=O)[O-])c1>Cc1ccnc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)c1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1cccnc1>O=C1Cc2ccc(-n3cc(-c4cccnc4)nn3)cc2N1,2N
Cc1ccc(CBr)cc1.C#Cc1ccc(C(=O)O)cc1>Cc1ccc(Cn2cc(-c3ccc(C(=O)O)cc3)nn2)cc1,3Y
CC(C)CBr.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(CC(C)C)nn2)cc1,3N
Brc1ccc2cccnc2c1.C#CCN>NCc1cn(-c2ccc3cccnc3c2)nn1,2Y
Fc1ccc(Br)c(Cl)c1.C#CCOc1ccccc1>Fc1ccc(-n2cc(COc3ccccc3)nn2)c(Cl)c1,2Y
O=[N+]([O-])CBr.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(C[N+](=O)[O-])nn2)cc1,3N
Brc1ccc(Oc2ccccc2)cc1.C#CC(C)(C)O>CC(C)(O)c1cn(-c2ccc(Oc3ccccc3)cc2)nn1,2N
Nc1cc(Br)ncn1.C#CC(C)=O>CC(=O)c1cn(-c2cc(N)ncn2)nn1,2N
Nc1cc(Br)ncn1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2cc(N)ncn2)nn1,2Y
CCOC(=O)CCBr.C#CC(C)=O>CCOC(=O)CCn1cc(C(C)=O)nn1,3N
O=CC(Br)C=O.C#CCNC>CNCc1cn(C(C=O)C=O)nn1,3Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#CCCO>OCCc1cn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nn1,3Y
Brc1nc2ccccc2[nH]1.C#Cc1ccc(F)cc1>Fc1ccc(-c2cn(-c3nc4ccccc4[nH]3)nn2)cc1,2N
COC(=O)CBr.C#Cc1cccnc1>COC(=O)Cn1cc(-c2cccnc2)nn1,3Y
Brc1nc2ccccc2s1.C#Cc1ccccc1>c1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2N
Nc1[nH]ncc1Br.C#CCC(=O)OC>COC(=O)Cc1cn(-c2cn[nH]c2N)nn1,2N
Cc1ccc(CBr)cc1.C#Cc1ccc(F)cc1>Cc1ccc(Cn2cc(-c3ccc(F)cc3)nn2)cc1,3Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(C#C)cc1>C#Cc1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,3Y
COc1ccc(Br)cc1.C#Cc1cccc(O)c1>COc1ccc(-n2cc(-c3cccc(O)c3)nn2)cc1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2N
CC(C)(C)OC(=O)N1CCC(Br)C1.C#Cc1ccc(C(=O)O)cc1>CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccc(C(=O)O)cc3)nn2)C1,3Y
COc1ccc(Br)cc1OC.C#Cc1ccc(C(=O)O)cc1>COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1OC,2Y
Cc1n[nH]c(C)c1Br.C#Cc1cccs1>Cc1n[nH]c(C)c1-n1cc(-c2cccs2)nn1,2N
O=C1c2ccccc2C(=O)N1CCCCCBr.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(CCCCCN3C(=O)c4ccccc4C3=O)nn2)cc1,3Y
CCOC(=O)CCBr.C#CCCc1ccccc1>CCOC(=O)CCn1cc(CCc2ccccc2)nn1,3N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nn1,3Y
COC(=O)CBr.C#Cc1ccc(OC)cc1>COC(=O)Cn1cc(-c2ccc(OC)cc2)nn1,3Y
Cc1ccnc(Br)c1.C#Cc1ccsc1>Cc1ccnc(-n2cc(-c3ccsc3)nn2)c1,2Y
Brc1nccs1.C#CC(=O)OC(C)(C)C>CC(C)(C)OC(=O)c1cn(-c2nccs2)nn1,2N
Cc1ccc(Br)cc1C.C#CCC(=O)OC>COC(=O)Cc1cn(-c2ccc(C)c(C)c2)nn1,2N
Fc1ccc(Br)c(Cl)c1.C#CC(=O)OC(C)(C)C>CC(C)(C)OC(=O)c1cn(-c2ccc(F)cc2Cl)nn1,2Y
Nc1nc(N)c2ccc(Br)cc2n1.C#CC(C)=O>CC(=O)c1cn(-c2ccc3c(N)nc(N)nc3c2)nn1,2N
OCCCBr.C#CC(=O)OCC>CCOC(=O)c1cn(CCCO)nn1,3Y
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#CC(C)=O>CC(=O)c1cn(C2CCCN(C(=O)OC(C)(C)C)C2)nn1,3N
O=CC(Br)C=O.C#Cc1cccc([N+](=O)[O-])c1>O=CC(C=O)n1cc(-c2cccc([N+](=O)[O-])c2)nn1,3Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc(Cl)cc1>FC(F)(F)c1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1,2N
CC(C)(C)C(=O)CBr.C#CC(C)(O)C=C>C=CC(C)(O)c1cn(CC(=O)C(C)(C)C)nn1,3N
CC(C)(C)c1ccc(CBr)cc1.C#Cc1ccc(C(=O)OC)cc1>COC(=O)c1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,3Y
O=[N+]([O-])CBr.C#CC(=O)OCC>CCOC(=O)c1cn(C[N+](=O)[O-])nn1,3N
COc1ccc(Br)c(OC)c1.C#Cc1cccs1>COc1ccc(-n2cc(-c3cccs3)nn2)c(OC)c1,2Y
O=Cc1cccc(Br)n1.C#CC(C)(O)c1ccccc1>CC(O)(c1ccccc1)c1cn(-c2cccc(C=O)n2)nn1,2Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#Cc1cccnc1>CC(C)(C)OC(=O)N1CCC(Cn2cc(-c3cccnc3)nn2)CC1,3Y
BrC1CCCC1.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])c1cccc(-c2cn(C3CCCC3)nn2)c1,3Y
O=[N+]([O-])CBr.C#CCc1ccccc1>O=[N+]([O-])Cn1cc(Cc2ccccc2)nn1,3N
NC(=O)c1ccc(Br)cc1.C#CC(O)c1ccccc1>NC(=O)c1ccc(-n2cc(C(O)c3ccccc3)nn2)cc1,2N
COc1ccc(Br)cc1OC.C#Cc1cccc(C)c1>COc1ccc(-n2cc(-c3cccc(C)c3)nn2)cc1OC,2Y
O=CC(Br)C=O.C#Cc1ccsc1>O=CC(C=O)n1cc(-c2ccsc2)nn1,3Y
